topic_id,keywords,processed_text_for_model,all_emotion_scores,dominant_emotion,dominant_score,interpreted_emotion_flavor
0,murder,Explore the emotional landscape surrounding a villain character whose motivations include: murder,"{'fear': 0.5253556966781616, 'sadness': 0.34553948044776917, 'anger': 0.11705346405506134, 'joy': 0.006928051821887493, 'love': 0.0038792365230619907, 'surprise': 0.0012440031860023737}",fear,0.525355697,
1,commits,Explore the emotional landscape surrounding a villain character whose motivations include: commits,"{'sadness': 0.7081036567687988, 'fear': 0.17756560444831848, 'anger': 0.09693760424852371, 'joy': 0.012513511814177036, 'love': 0.0039614466950297356, 'surprise': 0.0009182187495753169}",sadness,0.708103657,General Sadness
2,kind,Explore the emotional landscape surrounding a villain character whose motivations include: kind,"{'sadness': 0.5946598649024963, 'love': 0.14172346889972687, 'joy': 0.09141941368579865, 'anger': 0.08791548758745193, 'fear': 0.08246996253728867, 'surprise': 0.0018118725856766105}",sadness,0.594659865,"Feigned Sadness, Manipulative Pity Play"
3,family,Explore the emotional landscape surrounding a villain character whose motivations include: family,"{'sadness': 0.6236071586608887, 'fear': 0.24266208708286285, 'anger': 0.10538793355226517, 'joy': 0.01842697151005268, 'love': 0.00871303491294384, 'surprise': 0.0012027863413095474}",sadness,0.623607159,General Sadness
4,personal,Explore the emotional landscape surrounding a villain character whose motivations include: personal,"{'sadness': 0.6412200331687927, 'fear': 0.20722682774066925, 'anger': 0.11820966750383377, 'joy': 0.022872444242239, 'love': 0.009328433312475681, 'surprise': 0.0011425695847719908}",sadness,0.641220033,General Sadness
5,enjoys,Explore the emotional landscape surrounding a villain character whose motivations include: enjoys,"{'sadness': 0.6678133010864258, 'fear': 0.16318626701831818, 'anger': 0.1165371760725975, 'joy': 0.03035048581659794, 'love': 0.02083566226065159, 'surprise': 0.0012771020410582423}",sadness,0.667813301,General Sadness
6,crime,Explore the emotional landscape surrounding a villain character whose motivations include: crime,"{'sadness': 0.4766918122768402, 'fear': 0.3782987594604492, 'anger': 0.12095311284065247, 'joy': 0.016461117193102837, 'love': 0.00624625850468874, 'surprise': 0.0013489749981090426}",sadness,0.476691812,General Sadness
7,boss,Explore the emotional landscape surrounding a villain character whose motivations include: boss,"{'sadness': 0.531734049320221, 'fear': 0.3211497366428375, 'anger': 0.12631218135356903, 'joy': 0.014212490990757942, 'love': 0.005454526282846928, 'surprise': 0.0011370470747351646}",sadness,0.531734049,General Sadness
8,loyalty,Explore the emotional landscape surrounding a villain character whose motivations include: loyalty,"{'anger': 0.6049705147743225, 'sadness': 0.16217811405658722, 'fear': 0.09446975588798523, 'love': 0.08805656433105469, 'joy': 0.048636309802532196, 'surprise': 0.001688796211965382}",anger,0.604970515,
9,cruelty,Explore the emotional landscape surrounding a villain character whose motivations include: cruelty,"{'anger': 0.5648811459541321, 'sadness': 0.3522546589374542, 'fear': 0.07123540341854095, 'love': 0.005772797856479883, 'joy': 0.004785080906003714, 'surprise': 0.0010708667105063796}",anger,0.564881146,
10,sharp,Explore the emotional landscape surrounding a villain character whose motivations include: sharp,"{'anger': 0.5683988332748413, 'fear': 0.2520913779735565, 'sadness': 0.12708288431167603, 'joy': 0.039860643446445465, 'love': 0.010914307087659836, 'surprise': 0.0016519546043127775}",anger,0.568398833,
11,torture,Explore the emotional landscape surrounding a villain character whose motivations include: torture,"{'fear': 0.582928478717804, 'sadness': 0.33968454599380493, 'anger': 0.06855503469705582, 'joy': 0.00447797030210495, 'love': 0.0030815463978797197, 'surprise': 0.0012724491534754634}",fear,0.582928479,
12,mistreatment,Explore the emotional landscape surrounding a villain character whose motivations include: mistreatment,"{'sadness': 0.5550940036773682, 'fear': 0.36657169461250305, 'anger': 0.07053115218877792, 'love': 0.0037486713845282793, 'joy': 0.002840354572981596, 'surprise': 0.0012141416082158685}",sadness,0.555094004,General Sadness
13,strong,Explore the emotional landscape surrounding a villain character whose motivations include: strong,"{'joy': 0.8327203989028931, 'sadness': 0.08527690172195435, 'fear': 0.03209308907389641, 'anger': 0.024755116552114487, 'love': 0.02431490458548069, 'surprise': 0.0008395928889513016}",joy,0.832720399,
14,past,Explore the emotional landscape surrounding a villain character whose motivations include: past,"{'sadness': 0.6928784251213074, 'fear': 0.19878652691841125, 'anger': 0.08190266788005829, 'joy': 0.019197659566998482, 'love': 0.006166062317788601, 'surprise': 0.0010686347959563136}",sadness,0.692878425,"Haunting Sorrow, Past Trauma Sadness"
15,collapse,Explore the emotional landscape surrounding a villain character whose motivations include: collapse,"{'sadness': 0.9234172105789185, 'fear': 0.06124561280012131, 'anger': 0.010101178660988808, 'joy': 0.0034504225477576256, 'love': 0.0012924143811687827, 'surprise': 0.0004932028241455555}",sadness,0.923417211,"Haunting Sorrow, Past Trauma Sadness"
16,general,Explore the emotional landscape surrounding a villain character whose motivations include: general,"{'sadness': 0.5020776987075806, 'fear': 0.3448597192764282, 'anger': 0.1271326094865799, 'joy': 0.01804414764046669, 'love': 0.0066715809516608715, 'surprise': 0.001214199815876782}",sadness,0.502077699,General Sadness
17,death,Explore the emotional landscape surrounding a villain character whose motivations include: death,"{'sadness': 0.8228890299797058, 'fear': 0.1272261142730713, 'anger': 0.03953905031085014, 'joy': 0.006599303800612688, 'love': 0.002977534895762801, 'surprise': 0.0007689283811487257}",sadness,0.82288903,General Sadness
18,intelligence,Explore the emotional landscape surrounding a villain character whose motivations include: intelligence,"{'fear': 0.40470364689826965, 'sadness': 0.32930058240890503, 'anger': 0.181441530585289, 'joy': 0.07082057744264603, 'love': 0.011883714236319065, 'surprise': 0.0018498805584385991}",fear,0.404703647,
19,deceitfulness,Explore the emotional landscape surrounding a villain character whose motivations include: deceitfulness,"{'anger': 0.7667267918586731, 'fear': 0.20225489139556885, 'sadness': 0.021418705582618713, 'joy': 0.0073247929103672504, 'love': 0.0015301998937502503, 'surprise': 0.0007446623058058321}",anger,0.766726792,
20,scientist ,Explore the emotional landscape surrounding a villain character whose motivations include: scientist ,"{'fear': 0.44605565071105957, 'sadness': 0.3465566337108612, 'anger': 0.16877804696559906, 'joy': 0.028561733663082123, 'love': 0.008429572917521, 'surprise': 0.0016184470150619745}",fear,0.446055651,
21,sharpshooter,Explore the emotional landscape surrounding a villain character whose motivations include: sharpshooter,"{'fear': 0.6502732634544373, 'anger': 0.25399622321128845, 'sadness': 0.07182452827692032, 'joy': 0.016603650525212288, 'love': 0.005922278854995966, 'surprise': 0.0013800347223877907}",fear,0.650273263,
22,delusion,Explore the emotional landscape surrounding a villain character whose motivations include: delusion,"{'sadness': 0.6023794412612915, 'fear': 0.353893905878067, 'anger': 0.02938009239733219, 'joy': 0.009832428768277168, 'love': 0.003386155469343066, 'surprise': 0.0011279721511527896}",sadness,0.602379441,General Sadness
23,criminal,Explore the emotional landscape surrounding a villain character whose motivations include: criminal,"{'sadness': 0.38120490312576294, 'fear': 0.37303459644317627, 'anger': 0.22265325486660004, 'joy': 0.016098201274871826, 'love': 0.005628617480397224, 'surprise': 0.0013804864138364792}",sadness,0.381204903,General Sadness
24,serial killing ,Explore the emotional landscape surrounding a villain character whose motivations include: serial killing ,"{'fear': 0.5806046724319458, 'sadness': 0.3007338047027588, 'anger': 0.10663051903247833, 'joy': 0.007732323370873928, 'love': 0.0030101011507213116, 'surprise': 0.001288612256757915}",fear,0.580604672,
25,mass,Explore the emotional landscape surrounding a villain character whose motivations include: mass,"{'sadness': 0.5292665362358093, 'fear': 0.3260287642478943, 'anger': 0.12227005511522293, 'joy': 0.01571633107960224, 'love': 0.0055323438718914986, 'surprise': 0.0011858857469633222}",sadness,0.529266536,General Sadness
26,killer,Explore the emotional landscape surrounding a villain character whose motivations include: killer,"{'fear': 0.6110492944717407, 'sadness': 0.2331310510635376, 'anger': 0.13975746929645538, 'joy': 0.0100973816588521, 'love': 0.004709010478109121, 'surprise': 0.0012557781301438808}",fear,0.611049294,
27,cleverness,Explore the emotional landscape surrounding a villain character whose motivations include: cleverness,"{'joy': 0.9939536452293396, 'anger': 0.002135602058842778, 'sadness': 0.0015256238402798772, 'fear': 0.0012560395989567041, 'love': 0.000772175204474479, 'surprise': 0.0003567286767065525}",joy,0.993953645,
28,smoking,Explore the emotional landscape surrounding a villain character whose motivations include: smoking,"{'sadness': 0.5249559283256531, 'fear': 0.27941447496414185, 'anger': 0.17613418400287628, 'joy': 0.011998186819255352, 'love': 0.006281569600105286, 'surprise': 0.0012156922603026032}",sadness,0.524955928,General Sadness
29,violent,Explore the emotional landscape surrounding a villain character whose motivations include: violent,"{'anger': 0.9968611001968384, 'fear': 0.0014441440580412745, 'sadness': 0.0009651285363361239, 'joy': 0.0003107113006990403, 'love': 0.00029507887666113675, 'surprise': 0.00012385210720822215}",anger,0.9968611,
30,wealthy,Explore the emotional landscape surrounding a villain character whose motivations include: wealthy,"{'joy': 0.867244303226471, 'sadness': 0.06263081729412079, 'anger': 0.05088537186384201, 'fear': 0.011306106112897396, 'love': 0.006928813643753529, 'surprise': 0.0010045282542705536}",joy,0.867244303,
31,nazi,Explore the emotional landscape surrounding a villain character whose motivations include: nazi,"{'sadness': 0.4971778988838196, 'anger': 0.2863541543483734, 'fear': 0.2003759741783142, 'joy': 0.007344547659158707, 'love': 0.007343906909227371, 'surprise': 0.0014034314081072807}",sadness,0.497177899,General Sadness
32,german,Explore the emotional landscape surrounding a villain character whose motivations include: german,"{'sadness': 0.49522116780281067, 'fear': 0.3330194652080536, 'anger': 0.14664232730865479, 'joy': 0.016150526702404022, 'love': 0.007682825904339552, 'surprise': 0.0012836781097576022}",sadness,0.495221168,General Sadness
33,abuse,Explore the emotional landscape surrounding a villain character whose motivations include: abuse,"{'sadness': 0.9124669432640076, 'fear': 0.06356838345527649, 'anger': 0.019757770001888275, 'joy': 0.0020331055857241154, 'love': 0.0015961674507707357, 'surprise': 0.0005775581812486053}",sadness,0.912466943,General Sadness
34,two-face,Explore the emotional landscape surrounding a villain character whose motivations include: two-face,"{'sadness': 0.5206009149551392, 'fear': 0.3298933506011963, 'anger': 0.12896235287189484, 'joy': 0.014163781888782978, 'love': 0.005183052737265825, 'surprise': 0.0011964996811002493}",sadness,0.520600915,"Feigned Sadness, Manipulative Pity Play"
35,desire,Explore the emotional landscape surrounding a villain character whose motivations include: desire,"{'sadness': 0.5567933917045593, 'fear': 0.26074984669685364, 'anger': 0.15278001129627228, 'joy': 0.015681929886341095, 'love': 0.012637668289244175, 'surprise': 0.001357200089842081}",sadness,0.556793392,General Sadness
36,depression,Explore the emotional landscape surrounding a villain character whose motivations include: depression,"{'sadness': 0.9436998963356018, 'fear': 0.037092287093400955, 'anger': 0.014591177925467491, 'joy': 0.0025946139357984066, 'love': 0.001560509903356433, 'surprise': 0.0004614342760760337}",sadness,0.943699896,General Sadness
37,racism,Explore the emotional landscape surrounding a villain character whose motivations include: racism,"{'sadness': 0.6819782257080078, 'anger': 0.25096768140792847, 'fear': 0.05687098205089569, 'joy': 0.005673693958669901, 'love': 0.0035733834374696016, 'surprise': 0.0009359729592688382}",sadness,0.681978226,General Sadness
38,cunning,Explore the emotional landscape surrounding a villain character whose motivations include: cunning,"{'anger': 0.7598026394844055, 'joy': 0.16266083717346191, 'fear': 0.062415193766355515, 'love': 0.007598214782774448, 'sadness': 0.005501892883330584, 'surprise': 0.0020212179515510798}",anger,0.759802639,
39,ruthlessness,Explore the emotional landscape surrounding a villain character whose motivations include: ruthlessness,"{'anger': 0.9403788447380066, 'fear': 0.029538841918110847, 'joy': 0.014529653824865818, 'sadness': 0.011636821553111076, 'love': 0.0033940919674932957, 'surprise': 0.0005216755671426654}",anger,0.940378845,
40,leadership ,Explore the emotional landscape surrounding a villain character whose motivations include: leadership ,"{'sadness': 0.45091554522514343, 'fear': 0.20526935160160065, 'joy': 0.1668626219034195, 'anger': 0.16315744817256927, 'love': 0.012224119156599045, 'surprise': 0.001571004162542522}",sadness,0.450915545,General Sadness
41,strategic,Explore the emotional landscape surrounding a villain character whose motivations include: strategic,"{'joy': 0.29346731305122375, 'sadness': 0.2545351982116699, 'anger': 0.25441235303878784, 'fear': 0.18227657675743103, 'love': 0.013799269683659077, 'surprise': 0.0015092592220753431}",joy,0.293467313,
42,magic ,Explore the emotional landscape surrounding a villain character whose motivations include: magic ,"{'fear': 0.5589318871498108, 'sadness': 0.2809563875198364, 'anger': 0.09644307941198349, 'joy': 0.053652212023735046, 'love': 0.00825720839202404, 'surprise': 0.0017592282965779305}",fear,0.558931887,
43,pale,Explore the emotional landscape surrounding a villain character whose motivations include: pale,"{'fear': 0.478524386882782, 'sadness': 0.45333167910575867, 'anger': 0.05509151518344879, 'joy': 0.007596386596560478, 'love': 0.004346901550889015, 'surprise': 0.0011090128682553768}",fear,0.478524387,
44,like,Explore the emotional landscape surrounding a villain character whose motivations include: like,"{'sadness': 0.6784090399742126, 'fear': 0.2102005034685135, 'anger': 0.08836720138788223, 'joy': 0.015202596783638, 'love': 0.006685198750346899, 'surprise': 0.0011354502057656646}",sadness,0.67840904,General Sadness
45,evil ,Explore the emotional landscape surrounding a villain character whose motivations include: evil ,"{'sadness': 0.7579984068870544, 'anger': 0.22418376803398132, 'fear': 0.009459342807531357, 'joy': 0.005594323854893446, 'love': 0.0022364151664078236, 'surprise': 0.0005276788724586368}",sadness,0.757998407,General Sadness
46,dark,Explore the emotional landscape surrounding a villain character whose motivations include: dark,"{'sadness': 0.632810652256012, 'fear': 0.2957891821861267, 'anger': 0.06069205701351166, 'joy': 0.006564369425177574, 'love': 0.003120886394754052, 'surprise': 0.0010228123283013701}",sadness,0.632810652,General Sadness
47,staff,Explore the emotional landscape surrounding a villain character whose motivations include: staff,"{'sadness': 0.538770854473114, 'fear': 0.31259921193122864, 'anger': 0.12504169344902039, 'joy': 0.01683288812637329, 'love': 0.005556813906878233, 'surprise': 0.001198519952595234}",sadness,0.538770854,General Sadness
48,control,Explore the emotional landscape surrounding a villain character whose motivations include: control,"{'sadness': 0.5333987474441528, 'fear': 0.3101900815963745, 'anger': 0.11906076222658157, 'joy': 0.029930269345641136, 'love': 0.006198613438755274, 'surprise': 0.0012214748421683908}",sadness,0.533398747,General Sadness
49,disorder,Explore the emotional landscape surrounding a villain character whose motivations include: disorder,"{'sadness': 0.5937857031822205, 'fear': 0.3168066740036011, 'anger': 0.07817165553569794, 'joy': 0.007362870499491692, 'love': 0.0026970303151756525, 'surprise': 0.0011760672787204385}",sadness,0.593785703,General Sadness
50,power,Explore the emotional landscape surrounding a villain character whose motivations include: power,"{'sadness': 0.5041113495826721, 'fear': 0.2977236807346344, 'anger': 0.1615372747182846, 'joy': 0.027822192758321762, 'love': 0.0074411965906620026, 'surprise': 0.0013643528800457716}",sadness,0.50411135,General Sadness
51,narcissism,Explore the emotional landscape surrounding a villain character whose motivations include: narcissism,"{'fear': 0.6685647964477539, 'sadness': 0.26881346106529236, 'anger': 0.04541764780879021, 'joy': 0.010697265155613422, 'love': 0.005246147979050875, 'surprise': 0.0012607162352651358}",fear,0.668564796,
52,blooded,Explore the emotional landscape surrounding a villain character whose motivations include: blooded,"{'anger': 0.5317709445953369, 'fear': 0.2419879138469696, 'sadness': 0.1729436218738556, 'love': 0.026431960985064507, 'joy': 0.02533053047955036, 'surprise': 0.0015349948080256581}",anger,0.531770945,
53,cold,Explore the emotional landscape surrounding a villain character whose motivations include: cold,"{'anger': 0.9934222102165222, 'fear': 0.0026973357889801264, 'love': 0.0016372848767787218, 'sadness': 0.0016057793982326984, 'joy': 0.00040265280404128134, 'surprise': 0.000234732186072506}",anger,0.99342221,
54,violence,Explore the emotional landscape surrounding a villain character whose motivations include: violence,"{'sadness': 0.39268386363983154, 'anger': 0.3143666982650757, 'fear': 0.28047633171081543, 'joy': 0.0077962446957826614, 'love': 0.003527233609929681, 'surprise': 0.0011495801154524088}",sadness,0.392683864,General Sadness
55,luxury,Explore the emotional landscape surrounding a villain character whose motivations include: luxury,"{'sadness': 0.6622791290283203, 'fear': 0.2016908824443817, 'anger': 0.08695917576551437, 'joy': 0.0373065359890461, 'love': 0.010509191080927849, 'surprise': 0.0012550677638500929}",sadness,0.662279129,General Sadness
56,kill,Explore the emotional landscape surrounding a villain character whose motivations include: kill,"{'sadness': 0.49681589007377625, 'fear': 0.27532127499580383, 'anger': 0.21045038104057312, 'joy': 0.012016422115266323, 'love': 0.0043050809763371944, 'surprise': 0.0010910265846177936}",sadness,0.49681589,General Sadness
57,tyrant,Explore the emotional landscape surrounding a villain character whose motivations include: tyrant,"{'anger': 0.5337830781936646, 'sadness': 0.261940062046051, 'fear': 0.19097110629081726, 'joy': 0.008147777989506721, 'love': 0.004143096040934324, 'surprise': 0.0010147716384381056}",anger,0.533783078,
58,lack,Explore the emotional landscape surrounding a villain character whose motivations include: lack,"{'sadness': 0.877250611782074, 'fear': 0.09498665481805801, 'anger': 0.02200508303940296, 'joy': 0.003264805069193244, 'love': 0.001864807098172605, 'surprise': 0.0006280445959419012}",sadness,0.877250612,General Sadness
59,love,Explore the emotional landscape surrounding a villain character whose motivations include: love,"{'sadness': 0.7226056456565857, 'fear': 0.12442731112241745, 'anger': 0.1012653335928917, 'love': 0.03266677260398865, 'joy': 0.017699621617794037, 'surprise': 0.0013353971298784018}",sadness,0.722605646,General Sadness
60,sadistic ,Explore the emotional landscape surrounding a villain character whose motivations include: sadistic ,"{'anger': 0.9063193202018738, 'sadness': 0.07744818180799484, 'fear': 0.012332008220255375, 'love': 0.001758175203576684, 'joy': 0.0016184515552595258, 'surprise': 0.0005238437443040311}",anger,0.90631932,
61,sexual,Explore the emotional landscape surrounding a villain character whose motivations include: sexual,"{'anger': 0.4150271713733673, 'fear': 0.402937650680542, 'sadness': 0.1216464564204216, 'love': 0.048215076327323914, 'joy': 0.009975362569093704, 'surprise': 0.0021983229089528322}",anger,0.415027171,
62,misogyny,Explore the emotional landscape surrounding a villain character whose motivations include: misogyny,"{'sadness': 0.9451351165771484, 'anger': 0.050361745059490204, 'fear': 0.002922599669545889, 'joy': 0.0007070971769280732, 'love': 0.0005328828701749444, 'surprise': 0.0003405134775675833}",sadness,0.945135117,General Sadness
63,belief,Explore the emotional landscape surrounding a villain character whose motivations include: belief,"{'sadness': 0.4460943043231964, 'fear': 0.38132286071777344, 'anger': 0.12799696624279022, 'joy': 0.036592114716768265, 'love': 0.006601657718420029, 'surprise': 0.001392111531458795}",sadness,0.446094304,General Sadness
64,victim,Explore the emotional landscape surrounding a villain character whose motivations include: victim,"{'sadness': 0.6197136044502258, 'fear': 0.3110857903957367, 'anger': 0.058048065751791, 'joy': 0.0072150942869484425, 'love': 0.002827086253091693, 'surprise': 0.0011104136938229203}",sadness,0.619713604,"Feigned Sadness, Manipulative Pity Play"
65,commander,Explore the emotional landscape surrounding a villain character whose motivations include: commander,"{'sadness': 0.5365967154502869, 'fear': 0.34156447649002075, 'anger': 0.09688375890254974, 'joy': 0.017360258847475052, 'love': 0.0064654224552214146, 'surprise': 0.0011293143033981323}",sadness,0.536596715,General Sadness
66,perversion,Explore the emotional landscape surrounding a villain character whose motivations include: perversion,"{'sadness': 0.6552175283432007, 'anger': 0.19450397789478302, 'fear': 0.133649080991745, 'joy': 0.010646453127264977, 'love': 0.004942060448229313, 'surprise': 0.0010409244569018483}",sadness,0.655217528,General Sadness
67,strength,Explore the emotional landscape surrounding a villain character whose motivations include: strength,"{'sadness': 0.5586191415786743, 'fear': 0.27125808596611023, 'anger': 0.11365561932325363, 'joy': 0.04313694313168526, 'love': 0.011952674016356468, 'surprise': 0.0013775421539321542}",sadness,0.558619142,General Sadness
68,superhuman,Explore the emotional landscape surrounding a villain character whose motivations include: superhuman,"{'fear': 0.8097423911094666, 'anger': 0.07039742916822433, 'sadness': 0.0630759671330452, 'joy': 0.05200815573334694, 'surprise': 0.002483340911567211, 'love': 0.002292752731591463}",fear,0.809742391,
69,anger,Explore the emotional landscape surrounding a villain character whose motivations include: anger,"{'sadness': 0.4780312478542328, 'anger': 0.3603413701057434, 'fear': 0.14775337278842926, 'joy': 0.009110987186431885, 'love': 0.003746860893443227, 'surprise': 0.0010161481332033873}",sadness,0.478031248,"Vengeful Sadness, Bitter Resentment"
70,exceptional,Explore the emotional landscape surrounding a villain character whose motivations include: exceptional,"{'joy': 0.9934269189834595, 'surprise': 0.0026498909574002028, 'love': 0.0013847806258127093, 'sadness': 0.001229005865752697, 'fear': 0.000886694120708853, 'anger': 0.0004227855824865401}",joy,0.993426919,
71,morality,Explore the emotional landscape surrounding a villain character whose motivations include: morality,"{'sadness': 0.4972626566886902, 'anger': 0.2696040868759155, 'fear': 0.1766747236251831, 'joy': 0.04510786384344101, 'love': 0.010154776275157928, 'surprise': 0.0011959710391238332}",sadness,0.497262657,General Sadness
72,cheerful,Explore the emotional landscape surrounding a villain character whose motivations include: cheerful,"{'joy': 0.9962111711502075, 'love': 0.001433567376807332, 'sadness': 0.0014244834892451763, 'anger': 0.000531262659933418, 'fear': 0.0002775671018753201, 'surprise': 0.00012201607751194388}",joy,0.996211171,
73,joke,Explore the emotional landscape surrounding a villain character whose motivations include: joke,"{'sadness': 0.513378381729126, 'anger': 0.26249125599861145, 'fear': 0.20240171253681183, 'joy': 0.01590564474463463, 'love': 0.004620345775038004, 'surprise': 0.001202735467813909}",sadness,0.513378382,General Sadness
